,SUBDIVISION,YEAR,ANNUAL,J-J-A-S,Oct-Nov-Dec
106,TAMIL NADU,2007,1067.1000000000001,399.70000000000005,548.0
107,TAMIL NADU,2008,1203.3999999999999,321.4,591.3000000000001
108,TAMIL NADU,2009,928.5,280.4,483.0
109,TAMIL NADU,2010,1095.3000000000002,365.4,601.2
110,TAMIL NADU,2011,926.7,306.4,471.9
111,TAMIL NADU,2012,636.2,259.5,293.7
112,TAMIL NADU,2013,742.0,321.5,293.4
113,TAMIL NADU,2014,913.0,315.0,429.0
114,TAMIL NADU,2015,1204.6,285.9,665.2
115,KERALA,1901,3248.6000000000004,2122.7999999999997,666.1
116,KERALA,1902,3326.5000000000005,2403.3,638.2
117,KERALA,1903,3271.4,2343.1,570.1
118,KERALA,1904,3129.6000000000004,2398.2,365.3
119,KERALA,1905,2741.7,1881.5000000000002,458.09999999999997
120,KERALA,1906,2708.1,1943.1,500.79999999999995
121,KERALA,1907,3670.9,2737.8,581.5999999999999
122,KERALA,1908,2648.3000000000006,2023.6000000000004,312.2
123,KERALA,1909,3050.1,1940.4,415.5
124,KERALA,1910,2848.6,1886.4999999999998,637.1
125,KERALA,1911,2726.7999999999997,1934.1,535.6
126,KERALA,1912,3451.3,2453.0000000000005,630.2
127,KERALA,1913,2610.7000000000003,1729.0000000000002,578.1999999999999
128,KERALA,1914,2899.2,2066.2,610.5
129,KERALA,1915,3024.7000000000003,2167.1,514.0
130,KERALA,1916,2945.4000000000005,2170.3,463.9
131,KERALA,1917,2704.8,1851.8,562.1
132,KERALA,1918,2501.9,1104.2,582.6999999999999
133,KERALA,1919,3003.0999999999995,2024.9,582.3
134,KERALA,1920,3303.2,2318.1,660.6000000000001
135,KERALA,1921,2720.0,1927.5000000000002,454.4
136,KERALA,1922,3267.7,2231.2,585.1
137,KERALA,1923,3484.9,2928.5,328.6
138,KERALA,1924,4226.299999999999,3451.2999999999997,389.79999999999995
139,KERALA,1925,3062.2000000000003,1995.2,617.8999999999999
140,KERALA,1926,2965.3999999999996,2307.7999999999997,321.7
141,KERALA,1927,2994.8,2259.0,280.2
142,KERALA,1928,2502.7,1640.4,529.4
143,KERALA,1929,3361.6000000000004,2353.4,548.0
144,KERALA,1930,3018.0,1719.6999999999998,730.1
145,KERALA,1931,3259.5,2558.0,420.1
146,KERALA,1932,3403.1000000000004,1797.9,797.7
147,KERALA,1933,4072.7999999999997,2581.8999999999996,565.4
148,KERALA,1934,2410.7000000000003,1653.5000000000002,434.19999999999993
149,KERALA,1935,2498.1,1682.8,587.6999999999999
150,KERALA,1936,3043.0999999999995,1947.5000000000002,461.4
151,KERALA,1937,2818.1,1877.1,542.0
152,KERALA,1938,2634.1,1841.3,316.09999999999997
153,KERALA,1939,2937.5,1969.4,648.1000000000001
154,KERALA,1940,3117.7999999999997,2162.7,605.3000000000001
155,KERALA,1941,3111.2,2031.9,526.7
156,KERALA,1942,3051.0,2071.5,577.0
157,KERALA,1943,3464.3,2067.0,674.9
158,KERALA,1944,2489.9,1498.7,622.3000000000001
159,KERALA,1945,2432.3,1716.5,531.3
160,KERALA,1946,3565.5000000000005,2485.7000000000003,741.4000000000001
161,KERALA,1947,2998.0,2359.5,263.1
162,KERALA,1948,3039.2,2183.7,418.7
163,KERALA,1949,2942.5,2094.7,302.8
164,KERALA,1950,3146.7,2342.9,408.40000000000003
165,KERALA,1951,2705.6,1823.1,503.4
166,KERALA,1952,2334.8,1477.7000000000003,456.1
167,KERALA,1953,2544.7999999999997,1825.0,477.8
